"SHA","Size_MB","FilePath"
"1d487688908067535cc1829e8a18b6a49232b702","9.9418","public/art/00_illustrations/0_gar.png"
"dce8dd253cdbcab677f0dbcc72827d1f964042eb","9.1149","public/art/10_black_and_white/check_in_montage.png"
"da58032398c4bd0b55f0386196515e4ccf1f2bf2","8.5544","public/art/00_illustrations/2_nap_final.png"
"30622014b019d3a63001dcbc05422f54302fba61","7.987","public/art/time_travel_cat-11.png"
"01f259345af9635cb2a601d5a56565b1e4443cae","7.987","public/art/time_travel_cat-45.png"
"11ad2e191a5a36529a5869f45efcc85434d147b0","7.7173","public/art/time_travel_cat-83.png"
"fd27b8ea55cae571a29777477ae48160c0acf78b","7.7173","public/art/time_travel_cat-4.png"
"8bc780804390dbfd27c85b44e72bb88dd71fb11a","7.7173","public/art/time_travel_cat-76.png"
"d00949183b87c36b8b0b89b7be5b64b1400bcb8f","7.1262","public/art/time_travel_cat-62.png"
"0b71f5dfb4ef7b1218b2063254157c3a6bd29298","7.1262","public/art/time_travel_cat-27.png"
"25278e6cfeefead4a479bdae64d21b8642916da6","6.9739","public/art/30_whiteboard/rocco_and_elena_post_time_travel.png"
"5edc46009ae00266aabbd990b92c12484a6caba1","6.968","public/art/time_travel_cat-30.png"
"49ca1d92007cc20e00582907a16a2f24e18f4491","6.4256","public/fine_art_i_like/milkmaid.png"
"32911b841ced60c826e4844d0de1fa5402960dfb","5.6235","public/art/time_travel_cat-85.png"
"a113d0030c4224bc4b816768f73cfdf19dcf8d41","5.6235","public/art/time_travel_cat-90.png"
"b9912a8ea699386f9a8c1ab25b9be89e9a0c7219","5.6235","public/art/time_travel_cat-6.png"
"d97735b4bdaaee4996330f369869f154a4866462","5.5828","public/art/00_illustrations/conversation.png"
"3b65f0ca80702e048118781716590562218bfa08","5.5084","public/mtg/magic/the_liaison.png"
"39c3c226be1fcae6dddbcf58ace151f29ddf2682","5.4996","public/fine_art_i_like/monet.jpg"
"4ef4cd8ccb950a72122dddc928c568b2de1f1c0a","5.4867","public/mtg/cardmarket/scryfalls_random_tale.png"
"4e837db30a0c4ccd08ac2f130da527dfda2e266d","5.388","public/mtg/chain_of_waves.png"
"817a7e4fa6adacd6237cc75651d16913c9eb52d5","5.3779","public/mtg/magic/chain_of_waves.png"
"12612d764ffabae2f1e29252be0649287491e530","4.8432","public/art/30_whiteboard/bartholomew_and_scranklet.png"
"5ced6f2eb72d8d6ea1ab5848630a8d84e50dd652","4.8277","public/mtg/cardmarket/scryfall_random.png"
"712a8009461d5bc30c84271d1e32f2b906277d4f","4.6667","public/mtg/bonus/lt_elliot_and_trooper_wagner.png"
"ddfe3b4989467b8b81476364b19e152f20acb6cd","4.4196","public/art/10_black_and_white/danitha.png"
"d6e9e3641e04cce88a077688859c09edafcba100","4.248","public/mtg/mariah/mariah_unknown_clone.png"
"aca90018628c46fa82197ee3bb0cbf4cb44c948f","4.2427","public/mtg/mariah/mariah_token_bonus.png"
"fc79321103d47701e91ac45ab28b3281d297817e","4.2399","public/mtg/mariah/mariah_replacement.png"
"2e3e654a4573321091ee3c7bb859af64914f991a","4.2299","public/mtg/mariah/mariah_ramp.png"
"4f8c3f3c542d14f77b46850adf3d070bb4a4c044","4.2296","public/mtg/mariah/mariah_token_animator.png"
"7b346a3c78066bca4d09dd757ea311c9efe21680","4.2167","public/mtg/mariah/mariah_faithful.png"
"4b4c3d68fb4786cde55af4a55cb171c2d5c2f4f9","4.2064","public/mtg/mariah/mariah_token_sacrifice.png"
"ccf32804523cd905257f8aa9281bab34e8089bae","4.1899","public/mtg/mariah/mariah_basic.png"
"535114d4c6bc9442090e89fabb0cd891a0cdf842","4.1888","public/mtg/mariah/mariah_control.png"
"4f03b7e21d194d4591a664cc8e9741cd55166a81","4.1259","public/art/30_whiteboard/rocco_and_elena.png"
"5c22c88cdcaea582bcff401e4170032e8851ce05","4.122","public/art/time_travel_cat-29.png"
"453eb766d45c7f1585889d01cc3e9338507be4df","4.0211","public/mtg/sacrifico_letal.png"
"004eb8b9674bf34facc4f6d0a9b4e8b80ff5030b","4.0007","public/mtg/misfire_arsenal.png"
"78e2fdead17703171273803fe38fc03bcd0db3d1","3.9436","public/mtg/Deer.png"
"b96522c89e4975414487380b5f03f2a53e7efa9c","3.9406","public/mtg/kpop/kazuha_legion_devourer.png"
"abafca85f16cd70eb537aaa8de3294c7073cbc4c","3.9183","public/mtg/bonus/one_punch_man.png"
"a2a4a64315b412f921e95a697a49781130c0166e","3.913","public/mtg/other/One"
"d424713605b31913555852b5978e344bc265c4fc","3.896","public/mtg/bonus/the_player.png"
"b8d07020eaf8f82c04cfd113dfaf4dd9e9f33e65","3.8934","public/mtg/the_player.png"
"4f2004ae599511265ae8ee71d0f4656be77c751d","3.8685","public/mtg/the_bone_zone.png"
"1203efa9dde97ae55ef5cf37e4f9de444778892b","3.85","public/mtg/niall/group_hike.png"
"a2efb1274644f711df85c5de7b2177346348ab93","3.847","public/mtg/magic/bountiful_season.png"
"4e1e7734a88400f42afa0935792b74fa5e2339a6","3.8437","public/mtg/kpop/show_recruitment.png"
"ad4fd8a723d9fd3ad32f72f480559205ab6d825c","3.8383","public/mtg/kpop/ros_flag_bearer.png"
"84729db1293f08bb99fe268903c56b37ad335def","3.8303","public/mtg/kpop/rose_flag_bearer.png"
"5345ffaaaa043f46334c1e98a2391b0114577a78","3.8247","public/mtg/kpop/berate.png"
"3215c7e6926c15ff851fd1222b4ce9db684ed10b","3.8209","public/mtg/kpop/chaewon.png"
"7e7406dd1c92733c3bae5c2c420aa533cc9c5523","3.8164","public/mtg/kpop/winter_seasonal_balladeer.png"
"46d7586223822bec6680859a464eb158692abcf4","3.8136","public/mtg/niall/date_at_henry_cowell_national_park.png"
"91e7d24bc63c05841d6c06fad4e23d4ca9b73893","3.8133","public/mtg/artificial_vendetta.png"
"28e9d8a086408aaaa510e83023e78c8884a49402","3.8054","public/mtg/niall_with_sodium.png"
"365d5716c74f0565a947bde631b916edc64fcb60","3.8047","public/mtg/bonus/break_into_a_windows_users_house.png"
"47f4c824d68a9235b01af4e711771ce892c80cae","3.8029","public/mtg/niall/group_hike.png"
"a3a8973d4f22136ecaf47f15a2063e4abb885765","3.7985","public/mtg/bonus/joseph_traveling_merchant.png"
"866359b16d9ad33c949d71958f6fa00b34436950","3.7935","public/mtg/kpop/karina_grounded_leader.png"
"e99e5de26fb2032db792ef6e2fe9f389ed3eb55e","3.7901","public/mtg/kpop/yeri_guiding_force.png"
"acb06091174f88f3a0426f05b4ff58a6140a7676","3.79","public/mtg/five_guys.png"
"4ad7c933aaa008d7ca5abed4c7ba45cde2be24c1","3.7899","public/mtg/bonus/five_guys.png"
"5068e334fc235ab61ad2f0e309d9a773b1061abc","3.7812","public/mtg/magic/artificial_vendetta.png"
"5bc7d5a8faa7696de941e5907ab11e181910a6a2","3.7793","public/mtg/kpop/yeri_guiding_force.png"
"eebc91f7c2c99bd10ff6dc58ece833e1be4a37fe","3.7701","public/mtg/kpop/garam.png"
"85b35884a16ff2d11a57cf6c087a88036e1bfaf8","3.765","public/mtg/niall/niall_enthused_explorer.png"
"7dce4f79d4ebb2cd720cb7ea22fd65134e617baa","3.7579","public/mtg/bonus/usps_delivery_truck.png"
"0ddaf0a1b4f11f3ea2bd1ea83d419aa76181caa1","3.7557","public/mtg/_earth/scott_the_astromancer.png"
"0af173181974b1c0191307a9eb1337b9dff71957","3.7463","public/mtg/alien/uscss_nostromo.png"
